sample_id,Ix(U2:pha)_rms,Ix(U2:pha)_pk2pk,Ix(U2:pha)_std,Ix(U2:pha)_kurtosis,Ix(U2:pha)_crest,Ix(U2:phb)_rms,Ix(U2:phb)_pk2pk,Ix(U2:phb)_std,Ix(U2:phb)_kurtosis,Ix(U2:phb)_crest,Ix(U2:phc)_rms,Ix(U2:phc)_pk2pk,Ix(U2:phc)_std,Ix(U2:phc)_kurtosis,Ix(U2:phc)_crest,V(ea)_rms,V(ea)_pk2pk,V(ea)_std,V(ea)_thd,V(eb)_rms,V(eb)_pk2pk,V(eb)_std,V(eb)_thd,V(ec)_rms,V(ec)_pk2pk,V(ec)_std,V(ec)_thd,rpm_mean,rpm_std,temp,label
BLDCM test@100_0.085.txt_20ms,7.4689048155125715,21.843407861075505,7.468350791812838,-1.360381031097062,1.4623503855925652,7.541381644676835,21.8359943147158,7.525338533159766,-1.383574097707493,1.4482963933576412,7.6206098955564245,21.83148133350987,7.598305628201326,-1.4000585059508956,1.4331204685499919,3.016883610832819,6.897752997229039,3.0168833406700557,13.609398725667505,3.040647882098798,6.897753205742372,3.031777964569082,6.957337668208746,3.0413538252542747,6.897742364140274,3.0323804573468416,6.929586429349284,3717.5810439237753,5.6504112285238595,100,Healthy
BLDCM test@100_0.085.txt_21ms,7.573033797888811,21.835996666894133,7.555997765347217,-1.3839611062177428,1.4422431126563604,7.469563985951354,21.8359943147158,7.469313383060144,-1.3594808058891796,1.4622213368091104,7.591204075659787,21.82497150495167,7.5698591617882105,-1.3993324604255633,1.437814355511142,3.027036429863026,6.897740041717625,3.020382371562073,7.697498376424097,3.016915268514065,6.897752446918841,3.016453551788809,12.712644069916458,3.0552111344006962,6.897752446918841,3.044595690994152,6.5098822241187815,3717.5839137791313,5.648025750646195,100,Healthy
BLDCM test@100_0.085.txt_22ms,7.648444893960836,21.82945465196081,7.620648907471585,-1.413608653639148,1.4280230802921836,7.516968382795104,21.845198745203604,7.504835959522956,-1.367031091802891,1.4531181125206505,7.470148685391704,21.837785103882958,7.466772395263487,-1.3569230851928065,1.4622256354341718,3.0651085236262987,6.897740735417539,3.053556759661583,6.307040959016274,3.0179521882882985,6.897752446918841,3.0138869723995096,8.965747175125655,3.01692245585142,6.897754381106938,3.015029798592241,10.745422537730486,3717.5910010338825,5.648816751453223,100,Healthy
BLDCM test@100_0.085.txt_23ms,7.475682582856812,21.82945465196081,7.4659161078209,-1.3554059696582863,1.4610245574050449,7.675857107479978,21.845198745203604,7.6437719379096745,-1.4190770507808883,1.423038854858349,7.466497713711173,21.837785103882958,7.459676350258268,-1.3556072615561399,1.4629406352359817,3.019182423864875,6.897754858814406,3.014595728776776,8.630515085087424,3.063631558958928,6.897752446918841,3.05172532280019,6.218170224131861,3.017909945061844,6.897754858814406,3.0163743599911363,11.074563479616153,3717.604651934045,5.6515540938765385,100,Healthy
BLDCM test@100_0.085.txt_24ms,7.469017884220162,21.83956205622043,7.466771159744931,-1.3593984349803192,1.4625657119208098,7.516141085407819,21.837787215835533,7.5029513719905925,-1.3733249950228084,1.4532780564073133,7.647055042777441,21.84696236746835,7.621203066146061,-1.4088604060894416,1.4285132509280476,3.0169598232181327,6.897755436749598,3.016750728416594,13.168000119872717,3.0313587058549194,6.897746780637755,3.0239148594262284,7.4065987498335595,3.0508947626564322,6.897754858814406,3.040746944703717,6.625940123542809,3717.582072752219,5.648977542258206,100,Healthy
BLDCM test@100_0.085.txt_25ms,7.604611411217079,21.83956205622043,7.584202383005546,-1.3942567182061052,1.4364875295364241,7.470549543568711,21.831253950503807,7.470440727662719,-1.3602000721643315,1.4621471746597436,7.559560861213069,21.84696236746835,7.541899483002322,-1.3892481922675164,1.4450468300655734,3.035869640111274,6.897755436749598,3.027689321975607,7.168784041171,3.016932354935533,6.897746780637755,3.016875918584715,13.486434280242118,3.046312068519536,6.897754858814406,3.03671101712656,6.758233568726239,3717.5812046914953,5.649700762774675,100,Healthy
BLDCM test@100_0.085.txt_26ms,7.611349326686863,21.83956205622043,7.58804812268973,-1.4044593559911802,1.4352158848999759,7.553110739091617,21.831253950503807,7.537996464367987,-1.3779839808547187,1.4461648035625518,7.471377914254612,21.84696236746835,7.470453513758205,-1.3584491058710546,1.46210238386443,3.05973693910868,6.897755436749598,3.0486736773156626,6.408841602323715,3.0227984233692204,6.897750455498963,3.0170860519752423,8.096205187547028,3.0169171885335437,6.897754858814406,3.016046480406909,12.036347431714248,3717.5857271341633,5.646783910685311,100,Healthy
BLDCM test@100_0.085.txt_27ms,7.471570025144137,21.848760120379353,7.46610459469108,-1.3553658304978586,1.4621867458151645,7.6694912130075625,21.841381877349104,7.639371796269538,-1.41833418477036,1.4244531166118257,7.494560976949906,21.839552056220427,7.48423336161025,-1.3611002723672077,1.4575796357893505,3.016925849836648,6.897750455498963,3.014268783762322,10.00115228286655,3.0665930655924534,6.897756694434131,3.054926192315789,6.282368434079208,3.016882313179988,6.897747689877145,3.0137415253907145,9.60655154794956,3717.5940368623465,5.652355073715973,100,Healthy
BLDCM test@100_0.085.txt_28ms,7.4669381902867125,21.848760120379353,7.461333129655271,-1.3561524413467456,1.463093758484178,7.485403341833154,21.841381877349104,7.475164359327103,-1.3600924497634175,1.4594845678042212,7.673592808258305,21.83301753240039,7.643346223875328,-1.4193926807032309,1.4235729901419087,3.0168812192400667,6.897750455498963,3.015728372970518,11.62799574575991,3.0208612916861304,6.897756694434131,3.015677321234967,8.343670709071793,3.0617029744946693,6.897747689877145,3.050446643112764,6.368639363475669,3717.58912639497,5.647549972153307,100,Healthy
BLDCM test@100_0.085.txt_29ms,7.64201711022787,21.841381877349104,7.6168686430768,-1.4075101513937776,1.429574221519883,7.468018324578067,21.841381877349104,7.466211979083427,-1.3597195574956382,1.4628821444158508,7.519577213578083,21.8265287586216,7.505785305859552,-1.375355507084174,1.4518676217183264,3.049190562080858,6.897745003751247,3.0392354843624254,6.669376331302807,3.0168975078122005,6.897749731679177,3.0167551246309356,13.310550799292523,3.0328845804013955,6.897749731679177,3.025175849836433,7.315714583327623,3717.581823429146,5.649626906911223,100,Healthy
BLDCM test@100_0.085.txt_30ms,7.5649528244927495,21.834835419103307,7.546470364134914,-1.3912275126039235,1.4441373151495063,7.599314573106014,21.8505558014422,7.579491491333769,-1.3923563572572468,1.4377250783791378,7.468954508773412,21.8431558256515,7.468927604156057,-1.360260198716745,1.4628185413919255,3.0479103255139357,6.897753241903027,3.0381097840893827,6.707985770196402,3.0342064750754627,6.897749731679177,3.0262889314771653,7.247474732630482,3.0169130049621056,6.897759380879197,3.0168119078170474,13.40262344162921,3717.5818070926657,5.649781261687432,100,Healthy
BLDCM test@100_0.085.txt_31ms,7.469870260354293,21.834835419103307,7.468603643451568,-1.3585535681282386,1.462519465589416,7.6184337145128795,21.8505558014422,7.594137835971273,-1.406188429064128,1.434116978590153,7.547176178835524,21.8431558256515,7.532502882282498,-1.3757972277190376,1.4476573597003708,3.0169184640384406,6.897753241903027,3.0158914661360727,11.810933085282466,3.0608683356086237,6.897749731679177,3.0496909178371863,6.387038077547247,3.021746543960218,6.897759380879197,3.0163284714123297,8.228512880585246,3717.5869242900044,5.647239234416028,100,Healthy
BLDCM test@100_0.085.txt_32ms,7.495364701428856,21.844937002404855,7.4853230700008195,-1.3621707116830433,1.4577824161087563,7.462633190622372,21.8431558256515,7.457248140721943,-1.3542101239308444,1.464057640401776,7.6696851229760625,21.852335777528495,7.640250262445254,-1.4195436752743738,1.4246491820829903,3.016252468421667,6.897753241903027,3.0130682501406696,9.617016245211042,3.0160233799413185,6.897743266701422,3.0133811857819652,10.06663379494223,3.0659229634406353,6.897753241903027,3.0547895737500133,6.419077206704604,3717.5776175009487,5.646026812876861,100,Healthy
BLDCM test@100_0.085.txt_33ms,7.679236566520316,21.844937002404855,7.649308366469452,-1.4211868082544643,1.4228772312735778,7.468520100178764,21.836631220684414,7.462676882380179,-1.3548083172427035,1.4629036266482103,7.490163993546715,21.852335777528495,7.480419805328258,-1.3612426748137034,1.4587945800246755,3.0622547014499055,6.897759421266899,3.051418266467733,6.485341392230031,3.0160388630148027,6.897750957072531,3.0148572554264734,11.665638828418398,3.0210886032453117,6.8977506473335435,3.0159897999560994,8.420977206776458,3717.5833823887774,5.651661979579103,100,Healthy
BLDCM test@100_0.085.txt_34ms,7.524721337255285,21.844937002404855,7.5106510550371075,-1.3768164309739204,1.452095084234818,7.6378412844783306,21.836631220684414,7.613292816476808,-1.4060006659848583,1.4304729220349075,7.469689817771322,21.852335777528495,7.46814454611651,-1.3597734605786742,1.4627930883135416,3.0346218169024164,6.897759421266899,3.026644269507956,7.2272894703842985,3.047558665807981,6.897750957072531,3.0377996549198434,6.721066955426525,3.016916904604962,6.8977506473335435,3.016826549493988,13.419233256423476,3717.5811642398417,5.649477564046999,100,Healthy
BLDCM test@100_0.085.txt_35ms,7.470505914724897,21.8541040203881,7.470504510649015,-1.359945068933164,1.4627514228700351,7.570073688484555,21.846733077130384,7.551253133750709,-1.3926569668555615,1.44351212498044,7.593735591302178,21.844936775621537,7.574649660640572,-1.3907987002039273,1.4388979581797932,3.0169126951996033,6.897750957072531,3.016757089206735,13.28663311721048,3.0496334247973023,6.897759160302488,3.0396383230204247,6.657924702920722,3.032539298669037,6.897753468462373,3.0248864683507657,7.336442825314515,3717.581721776828,5.64890941872882,100,Healthy
BLDCM test@100_0.085.txt_36ms,7.540713687494587,21.8541040203881,7.5267924429612485,-1.3741147854682911,1.4491324838980237,7.4706855111195525,21.846733077130384,7.469057346005504,-1.357951176637152,1.46271625810752,7.623516699727861,21.838428567824437,7.5987538763534275,-1.4078085090135175,1.4332769334225999,3.020636536658854,6.897746433410697,3.0155154445381074,8.375649624133581,3.0169190217415887,6.897759160302488,3.0157307500892605,11.581497704198512,3.061975786288475,6.897753468462373,3.0506967993445038,6.3638267535287705,3717.5873227500047,5.646715942216831,100,Healthy
BLDCM test@100_0.085.txt_37ms,7.680432555119349,21.846733077130384,7.648716794775407,-1.4216828037361149,1.4227705377139466,7.480231018568466,21.846733077130384,7.470953924375994,-1.3573306981261792,1.4608496888929126,7.469388790190077,21.8319337572821,7.4623220265297165,-1.355124202677844,1.4619825173756555,3.0664807469154645,6.897746433410697,3.05481699292438,6.283749693455599,3.0169062742915913,6.897759160302488,3.0143015925542795,10.045391938451845,3.016899751941565,6.897753468462373,3.01370121014033,9.561125648796468,3717.596252135226,5.655955023525808,100,Healthy
BLDCM test@100_0.085.txt_38ms,7.49264571686732,21.84020395428736,7.481656949302213,-1.3634292723648918,1.458429180993179,7.668278430348543,21.855870199250454,7.63903294831206,-1.4169212827366944,1.4251408764288798,7.466948192980291,21.848502803954467,7.462299848489023,-1.3570796765793927,1.4635680728960592,3.023053309407223,6.897754752507409,3.0172798092231132,8.064880237231597,3.0594029342562696,6.897747344956866,3.048365858048877,6.415940459314357,3.016927713110986,6.897759163758692,3.0160895435927206,12.083816260633705,3717.5868686736753,5.647195849053068,100,Healthy
BLDCM test@100_0.085.txt_39ms,7.4680581356414075,21.84020395428736,7.466858013074272,-1.3601675385903733,1.4632308637463933,7.5300056972094245,21.855870199250454,7.515229224986924,-1.3787303161849878,1.451310594224064,7.633820021808959,21.848502803954467,7.6097781286195385,-1.404079909226613,1.4315751414093747,3.0169172957063903,6.897754752507409,3.0168687033203447,13.509633084022694,3.036214740478952,6.897747344956866,3.027980508667728,7.149198990482547,3.0459292973590952,6.897759163758692,3.036379372605307,6.771058612008509,3717.581365083156,5.650313996920888,100,Healthy
BLDCM test@100_0.085.txt_40ms,7.588546512144167,21.833740895659705,7.569847452048405,-1.3886595604509082,1.439146492706866,7.46959610756536,21.84850017159222,7.469584595095421,-1.3601875146484457,1.463047919265556,7.576916111042122,21.848502803954467,7.557253287897786,-1.3944609949129843,1.4423265108199537,3.0310386756514145,6.897754752507409,3.0236536686095827,7.425892155968601,3.016927709259979,6.897742316532875,3.0167022683685545,13.144616256978944,3.0512270910286095,6.897754752507409,3.0410434606996724,6.615757163562071,3717.582557974835,5.648981776941899,100,Healthy
BLDCM test@100_0.085.txt_41ms,7.631111160184542,21.842945522033535,7.6054062391116615,-1.40940366213985,1.4312352677187594,7.534673755605213,21.84199886424257,7.521070840631326,-1.3720320495396827,1.45041144413157,7.471166960883698,21.842973155198504,7.469157499708111,-1.3578241959579243,1.4627416351999518,3.063043781978865,6.897758713751305,3.051668242312084,6.347574285146999,3.019802138103659,6.897755379735611,3.0149718982507174,8.526495595090456,3.0169615685131967,6.897742065767284,3.0155917488285198,11.342493574209318,3717.58847508667,5.647354630363137,100,Healthy
BLDCM test@100_0.085.txt_42ms,7.471265245459066,21.842945522033535,7.463620452706071,-1.3541889750534564,1.4618562004576838,7.682989622560701,21.84199886424257,7.650784197092107,-1.4225460941689914,1.4224120530941475,7.476091744492527,21.842973155198504,7.467184302028617,-1.3555826526250039,1.461778072114428,3.0171776384201934,6.897758713751305,3.013694235248697,9.351359443023377,3.066218499546881,6.897755379735611,3.0545774629918294,6.290875430953577,3.0169463760153725,6.897742065767284,3.0145854708520656,10.270453392422727,3717.596129840419,5.655822294657499,100,Healthy
